Sample_ID,Date,State,City,Water_Source,pH,Turbidity_NTU,Dissolved_Oxygen,TDS_mg_L,Conductivity,Temperature_C,Water_Quality
1032,2025-02-01,Telangana,Hyderabad,Tap,9.4,2.4,6.1,221.0,374,25.1,Good
1033,2025-02-02,Maharashtra,Pune,Lake,9.2,4.0,6.8,275.0,345,22.7,Moderate
1034,2025-02-03,Karnataka,Mysuru,Lake,6.3,5.6,8.0,335.0,518,31.2,Excellent
1035,2025-02-04,Maharashtra,Mumbai,Tap,6.0,5.1,8.9,178.0,250,27.0,Moderate
1036,2025-02-05,Kerala,Kochi,Reservoir,8.9,1.5,8.0,546.0,615,23.7,Excellent
1037,2025-02-06,Maharashtra,Mumbai,Tap,8.3,5.1,8.6,291.0,561,25.3,Excellent
1038,2025-02-07,Kerala,Unknown,Tap,5.6,5.4,6.0,351.0,478,29.3,Good
1039,2025-02-08,Tamil Nadu,Chennai,Tap,8.4,3.3,6.7,335.0,282,21.6,Unknown
1040,2025-02-09,Tamil Nadu,Chennai,Tap,5.7,2.7,5.1,292.0,642,21.8,Excellent
1041,2025-01-01,Kerala,Trivandrum,River,9.3,2.0,5.7,204.0,323,26.0,Excellent
1042,2025-02-11,Tamil Nadu,Madurai,River,5.8,3.0,5.6,453.0,324,28.5,Excellent
1043,2025-02-12,Karnataka,Bengaluru,Lake,9.2,4.2,5.2,503.0,360,25.5,Excellent
1044,2025-02-13,Karnataka,Mysuru,Tap,9.5,2.7,8.8,391.0,628,21.1,Good
1045,2025-02-14,Maharashtra,Pune,River,15.0,2.3,5.0,461.0,325,24.9,Good
1046,2025-02-15,Tamil Nadu,Chennai,River,7.6,5.0,8.5,537.0,424,32.0,Unknown
1047,2025-02-16,Maharashtra,Mumbai,River,8.8,3.6,6.0,215.0,572,27.7,Good
1048,2025-02-17,Karnataka,Bengaluru,Borewell,7.4,1.4,6.8,455.0,686,22.2,Moderate
1049,2025-02-18,Tamil Nadu,Chennai,River,7.4,4.0,6.7,303.0,494,25.7,Unknown
1050,2025-02-19,Maharashtra,Pune,Lake,6.5,5.4,8.7,442.0,437,25.7,Unknown
1051,2025-01-01,Telangana,Hyderabad,Tap,8.0,0.8,7.3,316.0,443,26.3,Excellent
1052,2025-02-21,Tamil Nadu,Madurai,Tap,5.8,3.8,5.1,414.0,626,20.1,Good
1053,2025-02-22,Karnataka,Unknown,Tap,7.3,3.2,8.7,438.0,628,30.2,Good
1054,2025-02-23,Kerala,Kochi,Lake,8.7,0.7,8.5,347.0,653,21.3,Poor
1055,2025-02-24,Kerala,Trivandrum,River,8.9,5.2,5.4,265.0,490,30.4,Unknown
1056,2025-02-25,Tamil Nadu,Madurai,Tap,8.8,2.2,8.4,492.0,321,21.3,Good
1057,2025-02-26,Tamil Nadu,Chennai,River,6.7,5.5,7.1,367.0,481,20.9,Poor
1058,2025-02-27,Karnataka,Bengaluru,Lake,5.6,1.7,6.7,516.0,442,23.1,Moderate
1059,2025-02-28,Kerala,Trivandrum,Lake,7.6,4.4,6.1,365.0,292,28.9,Moderate
1060,2025-03-01,Maharashtra,Pune,Lake,5.9,2.8,7.1,491.0,491,22.5,Unknown
1061,2025-03-02,Kerala,Trivandrum,River,8.2,4.7,6.4,333.6979166666667,581,26.4,Good
1062,2025-03-03,Karnataka,Mysuru,Borewell,6.7,2.7,8.3,273.0,409,33.6,Unknown
1063,2025-03-04,Kerala,Kochi,River,8.9,1.0,5.8,499.0,470,26.1,Excellent
1064,2025-03-05,Karnataka,Bengaluru,Lake,7.3,2.3,5.8,401.0,642,30.0,Poor
1065,2025-03-06,Maharashtra,Pune,Lake,8.6,3.3,5.8,129.0,668,21.5,Excellent
1066,2025-03-07,Telangana,Hyderabad,Tap,6.3,5.9,8.1,289.0,462,24.2,Poor
1067,2025-03-08,Karnataka,Mysuru,River,9.0,2.1,7.6,322.0,365,29.7,Poor
1068,2025-03-09,Telangana,Hyderabad,Tap,7.5,2.8,7.4,313.0,425,-1.7,Poor
1069,2025-03-10,Tamil Nadu,Madurai,Borewell,9.5,4.1,6.4,288.0,307,24.0,Moderate
1070,2025-03-11,Telangana,Hyderabad,Borewell,8.6,1.0,6.4,462.0,521,31.8,Good
1071,2025-03-12,Maharashtra,Mumbai,Borewell,15.0,4.3,6.4,143.0,292,23.4,Good
1072,2025-03-13,Kerala,Trivandrum,River,8.4,3.5,7.5,121.0,606,21.6,Unknown
1073,2025-03-14,Telangana,Hyderabad,Tap,7.6,1.1,6.3,291.0,577,27.3,Moderate
1074,2025-03-15,Telangana,Hyderabad,River,8.1,5.1,8.9,408.0,661,29.6,Excellent
1075,2025-03-16,Telangana,Hyderabad,Tap,8.4,1.5,7.5,155.0,595,22.4,Good
1076,2025-03-17,Telangana,Hyderabad,River,8.3,0.6,8.2,533.0,360,25.68541666666667,Poor
1077,2025-03-18,Maharashtra,Pune,Tap,6.4,1.5,6.7,374.0,363,20.4,Good
1078,2025-03-19,Kerala,Trivandrum,Lake,8.6,2.6,8.4,312.0,272,28.8,Good
1079,2025-03-20,Maharashtra,Mumbai,River,8.4,4.4,6.0,188.0,669,33.9,Poor
1080,2025-03-21,Karnataka,Bengaluru,Tap,8.9,2.2,5.5,470.0,381,30.4,Unknown
1081,2025-03-22,Karnataka,Bengaluru,River,8.6,3.8,8.9,300.0,667,33.5,Good
1082,2025-03-23,Tamil Nadu,Unknown,Tap,9.5,3.0,8.8,400.0,596,29.2,Good
1083,2025-03-24,Karnataka,Mysuru,Borewell,8.1,3.2,8.8,389.0,571,26.9,Poor
1084,2025-03-25,Karnataka,Bengaluru,River,9.0,4.9,8.6,155.0,698,24.1,Excellent
1085,2025-03-26,Telangana,Hyderabad,Lake,6.8,4.5,6.9,261.0,693,25.0,Excellent
1086,2025-03-27,Telangana,Hyderabad,Tap,6.3,2.9,8.1,416.0,578,20.6,Poor
1087,2025-03-28,Maharashtra,Pune,River,8.0,0.9,8.3,311.0,637,29.6,Unknown
1088,2025-03-29,Karnataka,Mysuru,Reservoir,8.1,2.6,5.7,383.0,685,28.3,Excellent
1089,2025-03-30,Telangana,Hyderabad,River,7.9,2.4,8.2,256.0,365,-3.3,Poor
1090,2025-03-31,Karnataka,Bengaluru,Tap,7.5,3.9,7.7,129.0,317,32.4,Excellent
1091,2025-04-01,Kerala,Trivandrum,Reservoir,8.4,5.5,7.4,211.0,304,28.4,Poor
1092,2025-04-02,Telangana,Hyderabad,Reservoir,15.0,4.5,7.2,344.0,589,20.7,Moderate
1093,2025-04-03,Kerala,Trivandrum,Tap,8.9,5.5,7.5,476.0,578,30.5,Good
1094,2025-04-04,Tamil Nadu,Chennai,Borewell,9.3,3.7,7.3,320.0,432,21.3,Poor
1095,2025-04-05,Telangana,Hyderabad,River,7.3,3.0,5.5,308.0,423,29.3,Unknown
1099,2025-04-09,Tamil Nadu,Madurai,River,8.8,1.5,6.0,460.0,327,22.2,Good
1100,2025-04-10,Tamil Nadu,Madurai,River,8.5,4.6,5.5,156.0,602,28.8,Excellent
